EmployeeNumber,Surname,GivenName,Gender,City,JobTitle,DepartmentName,StoreLocation,Division,Age,LengthService,AbsentHours,BusinessUnit,MonthlySalary,AnnualSalary,AnnualLeave,SickLeave,OnLeave
1,Gutierrez,Molly,F,Burnaby,Baker,Bakery,Burnaby,Stores,32.02881569,6.018478474,36.57730606,Stores,1500,18000,12,2,0
2,Hardwick,Stephen,M,Courtenay,Baker,Bakery,Nanaimo,Stores,40.32090167,5.532444578,30.16507231,Stores,1500,18000,10,3,0
3,Delgado,Chester,M,Richmond,Baker,Bakery,Richmond,Stores,48.82204661,4.389973118,83.80779766,Stores,1500,18000,0,0,0
4,Simon,Irene,F,Victoria,Baker,Bakery,Victoria,Stores,44.59935722,3.0817357380000003,70.02016505,Stores,1500,18000,6,1,0
5,Delvalle,Edward,M,New Westminster,Baker,Bakery,New Westminster,Stores,35.69787561,3.6190914480000003,0.0,Stores,1500,18000,9,2,0
6,Jones,Ernie,M,Richmond,Baker,Bakery,Richmond,Stores,48.44031059,2.717692452,81.83007916,Stores,1500,18000,11,3,0
7,Buford,Ralph,M,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,50.75273,10.157917999999999,60.49507152,HeadOffice,2000,24000,0,1,0
8,Lee,Gregory,M,Sechelt,Baker,Bakery,West Vancouver,Stores,36.2160312,4.432122862,30.07290192,Stores,1500,18000,2,1,0
9,Smith,Jerry,M,New Westminster,Baker,Bakery,New Westminster,Stores,58.42738025,6.940120524,181.630819,Stores,1500,18000,5,2,0
10,Beard,Robert,M,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,39.85398,13.848320999999999,30.66440832,HeadOffice,2000,24000,10,1,0
11,Mathis,John,M,New Westminster,Baker,Bakery,New Westminster,Stores,46.54758052,4.872038321000001,28.01835332,Stores,1500,18000,13,3,0
12,Barajas,John,M,Kamloops,Baker,Bakery,Kamloops,Stores,15.0,3.793042148,0.0,Stores,1500,18000,9,1,0
13,Leonard,James,M,North Vancouver,Baker,Bakery,North Vancouver,Stores,37.72801116,3.6211418380000002,0.0,Stores,1500,18000,13,1,0
14,Davis,Janet,F,Vananda,Baker,Bakery,Nanaimo,Stores,30.78519091,4.583328091,34.33444296,Stores,1500,18000,5,0,0
15,Bell,Thomas,M,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,49.92338,4.883225,0.0,HeadOffice,2000,24000,1,0,0
16,Combs,Danny,M,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,42.79789,19.107198,21.65982312,HeadOffice,2000,24000,2,2,0
17,Vivanco,Anne,F,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,48.6213,9.940272,0.0,HeadOffice,2000,24000,6,3,0
18,Craig,Bobbie,F,West Vancouver,Baker,Bakery,West Vancouver,Stores,41.85581217,2.559053659,55.09983109,Stores,1500,18000,6,1,0
19,Jones,Ilona,F,New Westminster,Baker,Bakery,New Westminster,Stores,51.00873723,5.30277286,81.59554037,Stores,1500,18000,9,2,0
20,Watkins,Jan,F,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,36.91041,11.226280000000001,94.66856131,HeadOffice,2000,24000,13,0,0
21,Callaway,Jesus,M,Burnaby,Baker,Bakery,Burnaby,Stores,57.90324297,3.300303735,108.3801763,Stores,1500,18000,6,0,0
22,Hammett,Josephine,F,New Westminster,Baker,Bakery,New Westminster,Stores,24.47030259,3.1475102280000002,0.0,Stores,1500,18000,7,1,0
23,Jarman,Sandra,F,Vancouver,Accounting Clerk,Accounting,Vancouver,FinanceAndAccounting,49.51672,6.5335,67.74078948,HeadOffice,2000,24000,13,2,0
24,Butler,Jennifer,F,Victoria,Baker,Bakery,Victoria,Stores,60.5955091,4.465036581000001,158.7045089,Stores,1500,18000,8,2,0
25,Simons,Larry,M,Nanaimo,Baker,Bakery,Nanaimo,Stores,35.80466401,4.626920266,0.0,Stores,1500,18000,12,2,0
